date, y
2016/10/07, 28.423648381262666
2016/10/28, 27.579574800716273
2016/11/18, 26.38351170663549
2016/12/08, 26.730787248820945
2016/12/29, 27.67373735237237
2017/01/18, 30.918157352110285
2017/02/08, 31.563270174978754
2017/03/01, 32.100078532144266
2017/03/21, 33.20548533425
2017/04/11, 35.5293173755133
2017/05/02, 35.416298938461495
2017/05/22, 35.7906505970727
2017/06/12, 38.49354826829614
2017/07/02, 41.7650443844598
2017/07/23, 39.94623061258736
2017/08/12, 37.58589451220041
2017/09/02, 38.2580834514946
2017/09/23, 35.274996673316025
2017/10/13, 35.16197823626422
2017/11/03, 33.31608834796603
2017/11/23, 32.68862369882544
2017/12/14, 33.2525081724167
2018/01/03, 34.52037167307677
2018/01/24, 36.68174701578576
2018/02/14, 35.07954217531909
2018/03/06, 33.6127179169811
2018/03/27, 33.716308411335035
2018/04/16, 35.17370472697516
2018/05/07, 39.14917987020766
2018/05/28, 37.33036609833522
2018/06/17, 34.99710611437405
2018/07/08, 32.82630282896719
2018/07/28, 39.4552373819206
2018/08/18, 36.95952069940506
2018/09/07, 35.790533721749995
2018/09/28, 31.61609782083957
2018/10/19, 33.80454927997428
2018/11/08, 35.857620156980346
2018/11/29, 33.57851240587058
2018/12/19, 34.223625228739024
2019/01/09, 36.574533386428044
2019/01/30, 35.676307573030215
2019/02/19, 37.91891126501639
2019/03/12, 40.188591073428285
2019/04/02, 42.891488744651724
2019/04/22, 45.946375929409584
2019/05/13, 45.10230234886319
2019/06/02, 47.83227613651238
2019/06/23, 49.42505303428115
2019/07/14, 49.284958480803596
2019/08/03, 49.7676146051177
2019/08/20, 51.063411307903294
2019/09/06, 54.281612276915325
2019/09/27, 56.90328159886158
2019/10/16, 60.44897587951303
2019/11/03, 65.07169790243216
2019/11/24, 62.76551403489668
2019/12/14, 62.24635385145899
2020/01/04, 61.321051921635416
2020/01/25, 61.153881251732145
2020/02/14, 60.52641660259155
2020/02/29, 52.210620517095094
2020/03/07, 45.95432345135325
2020/03/20, 40.61732871553633
2020/04/11, 44.25868652999742
2020/04/30, 52.693052630373984
2020/05/21, 50.75673046113593
2020/06/11, 54.35313997440829
2020/07/02, 57.92247337125491
2020/07/22, 60.787827741032714
2020/08/12, 61.2434077489211
2020/09/01, 58.01663592291098
2020/09/22, 56.65811613027586
2020/10/12, 55.59743361832366
2020/11/02, 57.32559109822108
2020/11/23, 62.30288254920535
2020/12/13, 66.2512815760121
2021/01/03, 68.41265691872107
2021/01/24, 64.77974334632512
2021/02/13, 63.98982199863022
2021/03/03, 62.10396074996831
2021/03/21, 58.62060863218872
2021/04/07, 62.3565331921302
2021/04/15, 74.82664801361719
2021/04/26, 80.30931809957065
2021/05/09, 83.026708310809
2021/05/30, 85.65379285604044
2021/06/19, 91.06430216983631
2021/07/05, 93.19967275324433
2021/07/09, 100.34691040393562
2021/07/12, 122.68420648849963
2021/07/12, 114.344834053185
2021/07/11, 108.23916979918425
2021/07/15, 167.3593700480942
2021/07/15, 158.72216033209656
2021/07/15, 152.16974015707137
2021/07/14, 145.6173199820462
2021/07/15, 137.4763628862369
2021/07/13, 132.81053118410375
2021/07/23, 187.37913020831596
2021/07/17, 176.88980591090743
2021/08/10, 195.05264568775863
2021/08/20, 197.55225654471676
2021/09/08, 206.011922256614
2021/09/26, 197.68925217065646
2021/10/08, 193.10308182273315
2021/10/12, 184.4152326266386
2021/10/14, 174.28833654056797
2021/10/13, 165.05552368701274
2021/10/15, 156.61630076767057
2021/10/18, 148.57372996781828
2021/10/24, 143.06251892806125
2021/11/09, 150.27083617894522
2021/11/22, 137.81661292291335
2021/12/12, 129.60791359145185
2021/12/30, 131.53782014029733
2022/01/08, 134.15936980417516
2022/01/20, 125.73785998929564
2022/02/04, 119.30656160702955
2022/02/15, 111.8127886245299
2022/02/27, 105.68170398784167
2022/03/18, 112.69915808574706
2022/04/04, 119.975768061237
2022/04/10, 109.02054626217503
2022/04/19, 100.14652766316482
2022/05/09, 96.75737705548221
2022/05/30, 103.62999665626711
2022/06/19, 95.7190566886068
2022/07/04, 98.06042002827527
2022/07/09, 88.25050280351658
2022/07/19, 75.6065840964736
2022/07/17, 71.66895145124542
2022/08/10, 75.80611191590242
2022/08/31, 75.90970241025639
2022/09/20, 69.86701447597102
2022/10/04, 69.11920720288933
2022/10/08, 78.50015303489454
2022/10/21, 85.69968589942101
2022/11/09, 80.04833550397939
2022/11/24, 78.42330101714518
2022/12/13, 75.50663838070165
2022/12/31, 80.4541120149818
2023/01/16, 86.92864452703702
2023/02/02, 80.04385528327586
2023/02/23, 75.7069626838111
2023/03/13, 79.39104600397178
2023/04/01, 82.60280151537262
2023/04/22, 77.20994037530465
2023/05/11, 77.70634882925651
2023/05/26, 85.29798541529783
2023/06/03, 91.92293646766919
2023/06/17, 99.9680980038413
2023/07/06, 100.85071609185349
2023/07/17, 95.50180494292616
2023/08/07, 91.96907300130539
2023/08/26, 94.36080960505797
2023/09/15, 96.02149106531598
2023/09/29, 90.48121118488118
2023/10/13, 83.45174490103156
2023/11/02, 86.2629470379579
2023/11/23, 87.01636432652921
2023/12/14, 83.68128803481625
2023/12/30, 83.92885223026312
2024/01/16, 78.28542709479893
2024/02/06, 81.7193799095169
2024/02/26, 87.70247812569949
2024/03/05, 91.63634843679617
2024/03/26, 97.24992862378497
2024/04/15, 95.67479989974402
2024/05/06, 98.86506766663052
2024/05/23, 94.74564108427134
2024/06/09, 102.4043251471021
2024/06/30, 108.81665076864971
2024/07/13, 114.54035672845347
2024/07/26, 120.77829462892105
